id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1200012,0dbc41bb-b801-4968-86d2-2aa0537a8bba,2015-01-28 2:15:31 PM CST,2015-01-28,2015-01-28 20:15:31 UTC,Central Time (US & Canada),16911,nasua,"",2015-01-29 04:03:56 UTC,2021-04-10 03:27:16 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1200012,https://inaturalist-open-data.s3.amazonaws.com/photos/1515762/medium.jpg,,"","",3,0,false,2,"Pihuamo, MX-JA, MX",19.21985655,-103.37797497,10,,,,10,,,false,gps,gps,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
2100795,6fa2e474-370a-4275-9c5a-d5287a718caf,2015-10-10 18:47:30,2015-10-10,2015-10-10 23:47:30 UTC,Guadalajara,86947,poncetejedai_tutor,Gilberto Ponce Tejeda,2015-10-12 15:59:58 UTC,2020-03-27 17:52:35 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/2100795,https://inaturalist-open-data.s3.amazonaws.com/photos/2515932/medium.JPG,,"","",1,0,false,,huiscuilco,21.136965,-102.982417,2748,,,,2748,,,false,,manual,Caribbean Agave,Agave angustifolia,Caribbean Agave,Plantae,50821
2757946,33180e0f-6a8c-4561-bcd6-cc9253864f59,2016-03-05 16:10:05,2016-03-05,2016-03-05 22:10:05 UTC,Guadalajara,86947,poncetejedai_tutor,Gilberto Ponce Tejeda,2016-03-08 15:31:02 UTC,2020-03-27 17:52:35 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/2757946,https://inaturalist-open-data.s3.amazonaws.com/photos/3119770/medium.JPG,,"","",1,0,false,,"apozol, jalisco",21.010243,-102.822461,247,,,,247,,,false,,manual,Caribbean Agave,Agave angustifolia,Caribbean Agave,Plantae,50821
7151967,7ab82ef5-4158-465d-a9d9-df174079fac8,2017/07/15 2:45 PM CDT,2017-07-15,2017-07-15 19:45:00 UTC,Central Time (US & Canada),86947,poncetejedai_tutor,Gilberto Ponce Tejeda,2017-07-22 01:48:10 UTC,2020-03-27 17:52:52 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/7151967,https://inaturalist-open-data.s3.amazonaws.com/photos/9210210/medium.jpeg,,"",,1,0,false,,"Yahualica de González Gallo, Jal., México",21.0064309521,-102.8217161185,244,,,,244,,,false,,,Caribbean Agave,Agave angustifolia,Caribbean Agave,Plantae,50821
7833172,e226f6df-ff91-4f3d-8dbb-60bba6563f43,2017/09/06 2:06 PM CDT,2017-09-06,2017-09-06 19:06:00 UTC,Central Time (US & Canada),376395,emmguevara,Emmanuel Guevara Lazcano,2017-09-08 15:24:35 UTC,2020-03-27 17:52:54 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/7833172,https://inaturalist-open-data.s3.amazonaws.com/photos/10310924/medium.jpeg,,"",,1,0,false,,"Cuquío, Jal., México",20.991908,-102.89274,,,,,,,,false,,,Caribbean Agave,Agave angustifolia,Caribbean Agave,Plantae,50821
10718354,1f87e43e-a0f5-4371-8b51-ad895a4ba043,2016/05/01 6:41 PM CDT,2016-05-01,2016-05-01 23:41:00 UTC,Central Time (US & Canada),78552,carlospalomera,Carlos Palomera,2018-04-09 01:11:09 UTC,2024-07-05 15:55:34 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/10718354,https://inaturalist-open-data.s3.amazonaws.com/photos/14974618/medium.jpeg,,"","",2,0,false,,"El Grullo, Jal., México",19.8158061654,-104.1998291016,977,,,,977,,,false,,,Caribbean Agave,Agave angustifolia,Caribbean Agave,Plantae,50821
12274753,5cf292a5-fbdc-46a1-a9a7-7b65882554a1,2018-05-08 11:56:19 AM CDT,2018-05-08,2018-05-08 16:56:19 UTC,Central Time (US & Canada),854695,mariana_topete,"",2018-05-08 20:39:38 UTC,2018-05-17 02:18:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12274753,https://inaturalist-open-data.s3.amazonaws.com/photos/17652792/medium.jpeg,,"",,2,0,false,2,"Mascota, MX-JA, MX",20.52673047,-104.79711462,16,,,,16,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
17612971,771d9ab4-763d-4566-855d-ea5880a36e01,2017/05/28 11:24 AM HST,2017-05-28,2017-05-28 21:24:00 UTC,Hawaii,1152333,core_ulloai,Coré Ulloa,2018-10-18 03:52:57 UTC,2019-11-02 15:46:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/17612971,https://inaturalist-open-data.s3.amazonaws.com/photos/26823313/medium.jpeg,,"",,1,0,false,,"Yahualica de González Gallo, Yahualica de González Gallo, JAL, MX",21.0122060144,-102.8052017264,183,,,,183,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
19422135,c3269520-dede-4403-a4b0-1c4bd4a394c2,2019/01/04 12:23 PM CST,2019-01-04,2019-01-04 18:23:00 UTC,Central Time (US & Canada),376395,emmguevara,Emmanuel Guevara Lazcano,2019-01-04 18:48:00 UTC,2020-05-09 18:12:43 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/19422135,https://inaturalist-open-data.s3.amazonaws.com/photos/29876362/medium.jpeg,,"",,1,0,false,,"La Calma, Zapopan, Jal., México",20.63264,-103.411761,,,,,,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
21391026,381f4b0a-b9c5-49ce-b1f3-fb6302deef18,Tue Mar 19 2019 11:01:40 GMT-0600 (CST),2019-03-19,2019-03-19 17:01:40 UTC,Mexico City,22707,coatzin_tutor,M. Domínguez-Laso,2019-03-19 17:02:18 UTC,2019-03-19 18:02:39 UTC,research,,https://www.inaturalist.org/observations/21391026,https://static.inaturalist.org/photos/33090225/medium.jpg,,"",,2,0,false,3,"Cabo Corrientes, Cabo Corrientes, JAL, MX",20.4357688409,-105.4745475111,5,,,,5,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
26182193,65ab7b5a-471f-4561-af6a-f27e8adbb7be,2019/05/30 9:46 AM CDT,2019-05-30,2019-05-30 14:46:00 UTC,Guadalajara,46643,josemareyes,Josema,2019-06-01 15:40:39 UTC,2019-06-01 21:23:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/26182193,https://inaturalist-open-data.s3.amazonaws.com/photos/40633454/medium.jpg,,"",,1,0,false,,"Bolaños, Jal., México",21.8972136201,-103.7918276964,944,,,,944,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
27342425,945bb313-af27-4259-a2df-297b4be24e65,2019/06/19 11:45 AM CDT,2019-06-19,2019-06-19 16:45:00 UTC,Guadalajara,376395,emmguevara,Emmanuel Guevara Lazcano,2019-06-20 19:58:19 UTC,2019-06-21 16:14:05 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/27342425,https://inaturalist-open-data.s3.amazonaws.com/photos/42531065/medium.jpeg,,"",,1,0,false,,"Tonalá, Jal., México",20.698833,-103.247965,,,,,,,,false,,,Bacanora,Agave angustifolia,Caribbean Agave,Plantae,50821
