id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
8668527,676bbb25-ea2d-482d-93d9-bfcab2c9152c,2016/12/15 3:46 PM CST,2016-12-15,2016-12-15 21:46:00 UTC,Central Time (US & Canada),376395,emmguevara,Emmanuel Guevara Lazcano,2017-11-03 20:06:46 UTC,2018-07-31 03:38:26 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/8668527,https://inaturalist-open-data.s3.amazonaws.com/photos/11612157/medium.jpeg,,"",,2,0,false,,"Jocotepec, Jal., México",20.363269,-103.436171,,,,,,,,false,,,Maguey mezcal,Agave inaequidens,,Plantae,274130
9079070,48c92765-029a-46c3-a654-ef51db9b6218,2017/02/17 12:31 PM CST,2017-02-17,2017-02-17 18:31:00 UTC,Central Time (US & Canada),261390,arnoldo_uribe_zamora,Arnoldo Uribe Z.,2017-12-07 19:22:04 UTC,2020-07-28 03:29:32 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/9079070,https://inaturalist-open-data.s3.amazonaws.com/photos/12260311/medium.jpg,,"","Individuo de Maguey de punta negra, bastante grande encontrado en el bosque de Pino-encino",2,0,false,,"Tapalpa, Jal., México",20.0492794983,-103.746535778,100,,,,100,,,false,,,Maguey mezcal,Agave inaequidens,,Plantae,274130
9215229,ffc670f3-3b00-4cb7-ac32-673401ea01ab,2016-09-11 13:18:56,2016-09-11,2016-09-11 18:18:56 UTC,Central Time (US & Canada),78552,carlospalomera,Carlos Palomera,2017-12-20 05:25:28 UTC,2024-07-05 15:55:34 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/9215229,https://inaturalist-open-data.s3.amazonaws.com/photos/12465625/medium.jpeg,,Agave,                               ,2,0,false,,"Cuautitlán de García Barragán, MX-JA, MX",19.585613,-104.274162,,,,,,,,false,,"",Maguey mezcal,Agave inaequidens,,Plantae,274130
10688918,f68f1485-b641-4ea1-a064-815240773713,2018/04/07 10:12 AM CDT,2018-04-07,2018-04-07 15:12:00 UTC,Central Time (US & Canada),756724,jcarlocuevas,J. Carlo Cuevas,2018-04-07 22:45:16 UTC,2018-05-30 18:18:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10688918,https://inaturalist-open-data.s3.amazonaws.com/photos/14925742/medium.jpeg,,"",,2,0,false,,Cerro de García,20.1694654427,-103.3336785436,15,,,,15,,,false,,,Maguey mezcal,Agave inaequidens,,Plantae,274130
12468416,46441837-e135-4680-9b31-a52e9633d642,2018-05-12 3:30:08 p.m. GMT-05:00,2018-05-12,2018-05-12 10:30:08 UTC,Ekaterinburg,859357,elpidiocopado,Elpidio,2018-05-15 01:30:40 UTC,2022-02-07 00:15:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12468416,https://inaturalist-open-data.s3.amazonaws.com/photos/17990384/medium.jpeg,,"",,3,0,false,2,"Pila del Perro, Guadalupe Victoria, Centro, 49340 Tapalpa, Jal., México",19.9470046666,-103.7606730312,5504,,,,5504,,open,false,gps,gps,Maguey mezcal,Agave inaequidens,,Plantae,274130
14699667,5fc6e09a-caa4-4f85-8e21-57671ca9e6a5,2013/12/07 1:44 PM CST,2013-12-07,2013-12-07 19:44:00 UTC,Central Time (US & Canada),75212,ricardo_ayala,Ricardo Ayala,2018-07-24 21:58:18 UTC,2024-01-23 13:39:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14699667,https://inaturalist-open-data.s3.amazonaws.com/photos/21917954/medium.jpeg,,"",,4,0,false,,"Jalisco, MX",20.075202939,-103.773356384,244,,,,30508,,obscured,true,,,Lechuguilla,Agave inaequidens,,Plantae,274130
18420299,da5de6cf-28d4-4273-8512-3e785a9dff66,Mon Aug 27 2018 15:20:46 GMT-0500 (CDT),2018-08-27,2018-08-27 20:20:46 UTC,Central Time (US & Canada),849522,leon_alexei_pizano_rodriguez,León Alexei Pizano Rodríguez,2018-11-16 01:42:37 UTC,2020-07-28 03:31:45 UTC,research,,https://www.inaturalist.org/observations/18420299,https://static.inaturalist.org/photos/28158304/medium.jpg,,"",,2,0,false,3,"Tapalpa, Tapalpa, JAL, MX",19.981295,-103.7608633333,3539,,,,3539,,,false,,,Maguey mezcal,Agave inaequidens,,Plantae,274130
20544836,78a88db9-b0f2-4040-9f67-c71c4f338682,2019/01/29 2:21 PM CST,2019-01-29,2019-01-29 20:21:00 UTC,Central Time (US & Canada),62141,pcarreyes,Pablo Carrillo-Reyes,2019-02-22 02:03:42 UTC,2021-10-18 00:53:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/20544836,https://inaturalist-open-data.s3.amazonaws.com/photos/31715556/medium.jpeg,,"",,2,0,false,,"Jocotepec, Jal., México",20.3579027778,-103.4421777778,30,,,,30,,open,false,,,Maguey mezcal,Agave inaequidens,,Plantae,274130
24897412,5ff5f99e-9075-4f5f-ad90-6e0c7310bbc6,2019-05-08 2:20:26 p. m. CDT,2019-05-08,2019-05-08 14:20:26 UTC,UTC,354791,carrancita,Juan Carlos Carranza,2019-05-10 20:35:23 UTC,2020-11-12 00:33:59 UTC,research,,https://www.inaturalist.org/observations/24897412,https://static.inaturalist.org/photos/38512971/medium.jpeg,,"","En el volcán de tequila jal, a 2195 msnm, bosque pino encino",2,0,false,2,"Unnamed Road, Jalisco, México",20.7976737734,-103.8544494286,263,,,,263,,,false,gps,gps,Lechuguilla,Agave inaequidens,,Plantae,274130
31000854,48c3609f-8b5e-4e25-9c5e-1ac8209c1fec,2019/08/11 9:31 AM CDT,2019-08-11,2019-08-11 14:31:00 UTC,Guadalajara,376395,emmguevara,Emmanuel Guevara Lazcano,2019-08-17 17:32:54 UTC,2020-05-12 15:03:19 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/31000854,https://inaturalist-open-data.s3.amazonaws.com/photos/48472757/medium.jpeg,,"",,1,0,false,,"Mazamitla, Jal., México",19.898722,-103.01763,,,,,,,,false,,,Lechuguilla,Agave inaequidens,,Plantae,274130
31000860,9c397605-3c58-4829-a8c0-317dcfb907cd,2019/08/11 9:34 AM CDT,2019-08-11,2019-08-11 14:34:00 UTC,Guadalajara,376395,emmguevara,Emmanuel Guevara Lazcano,2019-08-17 17:32:56 UTC,2020-05-12 15:02:58 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/31000860,https://inaturalist-open-data.s3.amazonaws.com/photos/48472819/medium.jpeg,,"",,1,0,false,,"Mazamitla, Jal., México",19.898722,-103.01763,,,,,,,,false,,,Lechuguilla,Agave inaequidens,,Plantae,274130
31647760,893f0f41-bbf3-4303-8de5-3d369f08c2af,2019/08/10 10:59 AM CDT,2019-08-10,2019-08-10 15:59:00 UTC,Guadalajara,86947,poncetejedai_tutor,Gilberto Ponce Tejeda,2019-08-28 01:49:31 UTC,2021-11-26 00:39:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31647760,https://inaturalist-open-data.s3.amazonaws.com/photos/49536478/medium.jpg,,"",dav,1,0,false,,"Municipio de Chapala, Jal., México",20.3200101927,-103.2257812904,503,,,,503,,open,false,,,Lechuguilla,Agave inaequidens,,Plantae,274130
