id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
490450,a7086931-b0d4-4c0a-b8b6-c7602e71e9f4,2013-12-30,2013-12-30,,Mexico City,12281,erendiracanales,Eréndira Canales,2013-12-31 05:31:52 UTC,2017-05-11 16:26:37 UTC,research,CC-BY-NC-SA,http://conabio.inaturalist.org/observations/490450,https://inaturalist-open-data.s3.amazonaws.com/photos/620590/medium.JPG,,"","",2,0,false,,Mascota Jalisco,20.48243,-104.781672,191,,,,191,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
785183,68459431-77bf-431d-b2cc-ea54c041b8a0,2014-07-06,2014-07-06,,Guadalajara,5784,julio,Julio Alejandro Álvarez Ruiz,2014-07-15 07:49:48 UTC,2023-02-19 02:31:55 UTC,research,CC-BY,http://conabio.inaturalist.org/observations/785183,https://static.inaturalist.org/photos/986770/medium.JPG,,"","En el Bosque Mesófilo con Arce, Talpa de Allende, Jalisco.",1,0,false,,"Talpa de Allende, MX-JA, MX",20.2171,-104.744854,997,,,,997,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
1999166,76357a74-7904-4084-9bf5-a5ccdbf833ab,2015-09-19,2015-09-19,,Guadalajara,46643,josemareyes,Josema,2015-09-25 22:19:08 UTC,2019-02-17 04:47:31 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/1999166,https://inaturalist-open-data.s3.amazonaws.com/photos/2432208/medium.JPG,,"",,3,0,false,,"Reserva Privada Bosque Antiguo, AC",21.871854,-103.870572,,,,,,,,false,,,Agave maximiliana maximiliana,Agave maximiliana maximiliana,,Plantae,314481
2823889,01e7779f-8aeb-47bd-867c-23cdd9ba7f43,2015-12-08,2015-12-08,,Mexico City,46217,nachotorres,Ignacio Torres García,2016-03-24 05:15:10 UTC,2016-11-26 14:04:11 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/2823889,https://inaturalist-open-data.s3.amazonaws.com/photos/3212995/medium.JPG,,"","",3,0,false,,Mascota,20.419055,-104.642903,31,,,,31,,,false,,,Agave maximiliana,Agave maximiliana,,Plantae,273686
2928615,83f6b79e-c6f5-48d5-b8e9-bfeb4390b765,2016-04-13 11:07:14 AM CDT,2016-04-13,2016-04-13 16:07:14 UTC,Central Time (US & Canada),46217,nachotorres,Ignacio Torres García,2016-04-13 16:25:33 UTC,2016-11-26 15:19:59 UTC,research,CC-BY-NC,http://conabio.inaturalist.org/observations/2928615,https://inaturalist-open-data.s3.amazonaws.com/photos/3355081/medium.jpeg,,"","",4,0,false,2,Mascota Jal.,20.467888,-104.74678,31,,,,31,,,false,gps,gps,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
4254724,86bbeffd-d4f6-42c9-bb7f-a9bb93755ff1,2014-12-13,2014-12-13,,Central Time (US & Canada),15762,adenova,J. Arturo de Nova,2016-10-02 20:13:10 UTC,2019-01-08 06:31:52 UTC,research,,http://conabio.inaturalist.org/observations/4254724,https://static.inaturalist.org/photos/5089642/medium.jpg,,"","",2,0,false,,mascota jalisco,20.526003,-104.789225,2606,,,,2606,,,false,,google,"",Agave maximiliana,,Plantae,273686
5642809,fdee18d4-7275-4f15-8a08-06ab7f38fe4c,2017/04/09 10:50 AM CDT,2017-04-09,2017-04-09 15:50:00 UTC,Central Time (US & Canada),78552,carlospalomera,Carlos Palomera,2017-04-10 22:41:41 UTC,2024-07-05 15:55:34 UTC,research,CC-BY-NC-ND,http://conabio.inaturalist.org/observations/5642809,https://inaturalist-open-data.s3.amazonaws.com/photos/6982248/medium.jpg,,"",,2,0,false,,"Autlán de Navarro, Jal., México",19.7841496354,-104.4483947754,977,,,,977,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
9142766,2286fac5-34ae-4ac9-ab86-d250ec76ed47,2017/12/11 10:16 AM CST,2017-12-11,2017-12-11 16:16:00 UTC,Central Time (US & Canada),5784,julio,Julio Alejandro Álvarez Ruiz,2017-12-13 08:55:56 UTC,2023-02-19 02:31:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/9142766,https://static.inaturalist.org/photos/12359396/medium.jpeg,,"",,1,0,false,,"Mascota, Jal., México",20.4795771348,-104.7675937414,8,,,,8,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
9142783,308b638e-284b-406b-8105-7aaf9ca3ae38,2017/12/11 1:21 PM CST,2017-12-11,2017-12-11 19:21:00 UTC,Central Time (US & Canada),5784,julio,Julio Alejandro Álvarez Ruiz,2017-12-13 08:56:17 UTC,2023-02-19 02:31:55 UTC,research,CC-BY,https://www.inaturalist.org/observations/9142783,https://static.inaturalist.org/photos/12359432/medium.jpeg,,"",,1,0,false,,"Mascota, Jal., México",20.4791751046,-104.7656035423,15,,,,15,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
12112193,9681f06e-54b7-455d-b5ec-49cf7d221a51,2018-05-02 9:43:29 AM CDT,2018-05-02,2018-05-02 14:43:29 UTC,Central Time (US & Canada),846765,erika106,"",2018-05-04 00:10:34 UTC,2019-06-14 22:57:43 UTC,research,,https://www.inaturalist.org/observations/12112193,https://static.inaturalist.org/photos/17472800/medium.jpeg,,"",,2,0,false,2,"Mascota, MX-JA, MX",20.523546,-104.7898355,3700,,,,3700,,,false,,,Maguey lechuguilla,Agave maximiliana,,Plantae,273686
