id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
4893552,14e5ddbf-cc38-45b9-a469-472139ac80be,2016/10/04 12:42 AM CDT,2016-10-04,2016-10-04 05:42:00 UTC,Central Time (US & Canada),47554,jeartello,Eleuterio Arcadia,2017-01-04 16:11:20 UTC,2021-10-18 00:40:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4893552,https://inaturalist-open-data.s3.amazonaws.com/photos/5951989/medium.jpeg,,"","",3,0,false,,"Jalisco, MX",20.5396656271,-104.9660227519,15,,,,30472,,obscured,true,,,Relisero,Agave valenciana,,Plantae,337365
10233811,78b56931-f04c-4b98-a8a9-de105dc96d00,Wed Mar 14 2018 11:50:56 GMT-0600 (CST),2018-03-14,2018-03-14 16:50:56 UTC,Central Time (US & Canada),781831,karimme_lc,Karimme Cibrian,2018-03-14 18:02:46 UTC,2021-10-18 00:47:22 UTC,research,,https://www.inaturalist.org/observations/10233811,https://static.inaturalist.org/photos/14172378/medium.jpg,,"",,2,1,false,3,"Jalisco, MX",20.4245630912,-104.6477860392,10,,,,30472,,obscured,true,,,Maguey Relisero,Agave valenciana,,Plantae,337365
12011948,b858daae-b3cf-4cc7-b7b6-dd8fee567c3d,2018/04/27 1:26 PM CDT,2018-04-27,2018-04-27 18:26:00 UTC,Central Time (US & Canada),12281,erendiracanales,Eréndira Canales,2018-05-01 21:38:08 UTC,2018-06-02 16:03:24 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/12011948,https://inaturalist-open-data.s3.amazonaws.com/photos/17212795/medium.jpg,,"",,2,0,false,,"Jalisco, MX",20.5113037366,-104.9811222095,8,,,,30472,,obscured,true,,,Relisero,Agave valenciana,,Plantae,337365
23307382,5c4d1bbd-d43f-4ea0-9b87-80b032842be0,2019/04/26 6:27 PM CDT,2019-04-26,2019-04-26 23:27:00 UTC,Guadalajara,17894,ana_santiago,Ana Santiago,2019-04-27 04:31:38 UTC,2024-04-02 04:11:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23307382,https://inaturalist-open-data.s3.amazonaws.com/photos/36111119/medium.jpg,,"",,2,0,false,,"Jalisco, MX",20.7756274929,-103.327349665,61,,,,30453,,obscured,true,,,Maguey Relisero,Agave valenciana,,Plantae,337365
25962192,e40ce5c4-81f6-4cc9-968f-e60b67c0b861,2019-05-25 11:23:05 AM CDT,2019-05-25,2019-05-25 11:23:05 UTC,UTC,1647088,eriica,Eriica CastellOn,2019-05-28 21:03:11 UTC,2021-10-18 23:56:07 UTC,research,,https://www.inaturalist.org/observations/25962192,https://static.inaturalist.org/photos/40270037/medium.jpeg,,"",,2,0,false,2,"Jalisco, MX",20.456686719,-104.7403276043,20,,,,30472,,obscured,true,,,Agave valenciana,Agave valenciana,,Plantae,337365
38981779,85ba13fc-4461-4686-98c4-d37d2b246751,2020-02-21 9:30:13 AM CST,2020-02-21,2020-02-21 09:30:13 UTC,UTC,2597641,laura1637,Laura Dueñas Peña,2020-02-21 15:31:15 UTC,2023-03-31 02:11:38 UTC,research,,https://www.inaturalist.org/observations/38981779,https://static.inaturalist.org/photos/61896723/medium.jpeg,,"",,1,0,false,2,"Jalisco, MX",20.5033691152,-104.6793389567,4,,,,30472,,obscured,true,,,Maguey Relisero,Agave valenciana,,Plantae,337365
83030696,6d598a72-8732-4f7a-9b15-5a542abb7b6a,Mon Jun 14 2021 08:11:29 GMT-0500 (CDT),2021-06-14,2021-06-14 08:11:29 UTC,UTC,4584559,aguileralilia301,,2021-06-14 18:12:12 UTC,2023-03-31 01:58:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/83030696,https://inaturalist-open-data.s3.amazonaws.com/photos/136329968/medium.jpg,,"","",1,0,false,3,"Jalisco, MX",20.5061687531,-104.7432778475,30,,,,30472,,obscured,true,,,Maguey Relisero,Agave valenciana,,Plantae,337365
83191448,d7e755b4-977f-45b1-a321-1fe5b3ef7d8d,2021-06-15 11:03:01,2021-06-15,2021-06-15 16:03:01 UTC,Mexico City,4564382,lizbeth_gonzalez1,lizbeth gonzalez,2021-06-15 22:15:19 UTC,2023-03-30 21:57:35 UTC,research,,https://www.inaturalist.org/observations/83191448,https://static.inaturalist.org/photos/136608251/medium.jpeg,,"",,2,0,false,2,"Jalisco, MX",20.5308354016,-104.6564066263,60,,,,30472,,obscured,true,gps,gps,Maguey Relisero,Agave valenciana,,Plantae,337365
104285873,dbb8fb45-a164-49a3-b58b-c39706d0b94c,2021-12-26 16:51:01,2021-12-26,2021-12-26 22:51:01 UTC,Central Time (US & Canada),125175,pinidae,Dante S. Figueroa,2022-01-03 17:13:11 UTC,2023-03-30 21:16:01 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/104285873,https://inaturalist-open-data.s3.amazonaws.com/photos/174709404/medium.jpeg,,"",,2,0,false,2,"Jalisco, MX",20.5147636946,-104.8038911344,5,,,,30472,obscured,obscured,true,gps,gps,Maguey Relisero,Agave valenciana,,Plantae,337365
117896034,6c9c81a3-aa3b-4075-b6ef-4adc74766dd1,2021/12/26 4:59 PM,2021-12-26,2021-12-26 22:59:00 UTC,Mexico City,1544242,aldodavalos,Aldo Dávalos Martínez,2022-05-20 18:15:15 UTC,2022-05-21 01:14:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/117896034,https://inaturalist-open-data.s3.amazonaws.com/photos/199142691/medium.jpeg,,"",,2,0,false,,"Jalisco, MX",20.5418423988,-104.978003076,8537,,,,30472,,obscured,true,,,Agave valenciana,Agave valenciana,,Plantae,337365
